gene_id	gene_name	Control1	Control2	Control4	Control5	Treated1	Treated2	Treated4	Treated5
ENSG00000000003	TSPAN6	1446	1588	1114	1805	1450	1062	1111	1426
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	535	471	729	624	696	445	637	677
ENSG00000000457	SCYL3	141	199	153	147	154	174	120	160
ENSG00000000460	FIRRM	44	61	72	98	96	57	62	40
ENSG00000000938	FGR	0	0	0	0	0	0	0	0
ENSG00000000971	CFH	3477	2822	3394	3552	2186	2140	1429	1207
ENSG00000001036	FUCA2	3403	2248	3564	3138	3533	2375	2976	2576
ENSG00000001084	GCLC	2355	1027	659	839	733	542	1108	648
ENSG00000001167	NFYA	557	583	398	391	556	519	537	616
ENSG00000001460	STPG1	198	334	293	510	430	334	331	337
ENSG00000001461	NIPAL3	1777	3532	3299	5887	5630	4324	3842	5319
ENSG00000001497	LAS1L	565	791	676	910	844	656	660	848
ENSG00000001561	ENPP4	288	379	791	850	937	500	1116	959
ENSG00000001617	SEMA3F	51	206	564	41	40	100	217	49
ENSG00000001626	CFTR	2	0	0	0	0	0	0	0
ENSG00000001629	ANKIB1	1263	1240	1522	1466	1542	1040	1464	1281
ENSG00000001630	CYP51A1	6305	3045	2673	5664	5106	2737	4513	5974
ENSG00000001631	KRIT1	418	561	431	510	443	423	486	375
ENSG00000002016	RAD52	140	166	118	138	113	168	76	174
ENSG00000002330	BAD	1709	1844	1346	1495	1598	1789	1165	1659
ENSG00000002549	LAP3	1547	1950	1900	1924	2075	1759	1846	1701
ENSG00000002586	CD99	5787	6331	3881	4983	3715	5879	3999	5264
ENSG00000002587	HS3ST1	32	13	165	14	69	39	71	12
ENSG00000002726	AOC1	0	0	0	0	0	0	0	0
ENSG00000002745	WNT16	0	6	0	0	4	5	0	0
ENSG00000002746	HECW1	68	0	3	19	17	0	2	24
ENSG00000002822	MAD1L1	453	624	542	447	598	475	485	444
ENSG00000002834	LASP1	8770	9519	13762	10454	13762	6809	12417	9199
ENSG00000002919	SNX11	306	409	490	568	538	429	524	519
ENSG00000002933	TMEM176A	0	0	0	0	0	0	0	0
ENSG00000003056	M6PR	2631	2614	3543	5102	5363	2049	4094	4850
ENSG00000003096	KLHL13	174	240	241	187	119	185	188	106
ENSG00000003137	CYP26B1	5	1	0	21	15	1	26	26
ENSG00000003147	ICA1	8	0	0	15	69	0	0	36
ENSG00000003249	DBNDD1	787	729	1075	675	1484	513	813	539
ENSG00000003393	ALS2	606	654	689	796	848	548	669	679
ENSG00000003400	CASP10	19	4	57	65	7	4	34	64
ENSG00000003402	CFLAR	1586	1608	1843	1837	1766	1409	1899	1497
ENSG00000003436	TFPI	1734	511	3273	1694	1726	669	2188	1069
ENSG00000003509	NDUFAF7	263	241	294	267	237	206	220	206
ENSG00000003756	RBM5	1748	1945	1389	1379	1453	1737	1287	1233
ENSG00000003987	MTMR7	42	22	35	40	23	18	42	26
ENSG00000003989	SLC7A2	128	14	109	44	43	12	112	22
ENSG00000004059	ARF5	1540	1908	1229	1216	1453	1695	1129	1365
ENSG00000004139	SARM1	383	884	451	1253	342	617	365	396
ENSG00000004142	POLDIP2	2234	2768	3111	3763	3151	2467	2586	3055
ENSG00000004399	PLXND1	3817	3039	7085	2514	1592	3082	7813	3243
ENSG00000004455	AK2	1111	1580	1861	1820	2098	1430	1904	1746
ENSG00000004468	CD38	0	0	0	0	0	0	0	1
ENSG00000004478	FKBP4	1807	2130	1935	2406	3165	2008	2125	2621
ENSG00000004487	KDM1A	953	1195	1144	1017	1279	947	972	1045
ENSG00000004534	RBM6	1304	1837	713	908	1010	1562	744	979
ENSG00000004660	CAMKK1	447	217	508	381	190	208	461	148
ENSG00000004700	RECQL	1088	1432	1726	1219	1636	1218	1503	1334
ENSG00000004766	VPS50	404	450	510	608	714	465	538	570
ENSG00000004776	HSPB6	22218	32950	12745	9274	13810	23756	9848	4660
ENSG00000004777	ARHGAP33	191	167	92	102	125	217	91	73
ENSG00000004779	NDUFAB1	789	962	1241	1111	1492	805	1082	1200
ENSG00000004799	PDK4	28	62	0	23	24	124	0	14
ENSG00000004809	SLC22A16	0	0	0	2	1	0	0	0
ENSG00000004838	ZMYND10	6	35	11	16	11	37	10	4
ENSG00000004846	ABCB5	4	12	0	46	9	3	0	12
ENSG00000004848	ARX	0	0	0	0	0	0	0	1
ENSG00000004864	SLC25A13	309	340	362	330	397	306	371	414
ENSG00000004866	ST7	305	465	348	309	347	401	323	360
ENSG00000004897	CDC27	1265	1319	1673	1547	1573	1026	1675	1368
ENSG00000004939	SLC4A1	0	0	0	0	1	0	0	0
ENSG00000004948	CALCR	0	0	0	0	0	0	0	0
ENSG00000004961	HCCS	483	508	709	834	1021	447	765	856
ENSG00000004975	DVL2	1836	1416	598	864	850	1118	475	868
ENSG00000005001	PRSS22	0	0	0	0	0	0	0	0
ENSG00000005007	UPF1	2528	3979	2379	3378	3113	3281	2425	3246
ENSG00000005020	SKAP2	213	286	516	264	209	294	579	207
ENSG00000005022	SLC25A5	2728	3203	3234	3866	4666	2148	2849	3788
ENSG00000005059	MCUB	217	140	419	329	380	194	344	360
ENSG00000005073	HOXA11	0	0	0	0	0	0	0	0
ENSG00000005075	POLR2J	946	965	968	933	1225	942	1015	1159
ENSG00000005100	DHX33	361	465	556	531	564	383	531	590
ENSG00000005102	MEOX1	0	1	0	0	0	0	3	1
ENSG00000005108	THSD7A	174	294	191	284	113	197	130	71
ENSG00000005156	LIG3	382	461	444	349	429	357	454	329
ENSG00000005175	RPAP3	478	641	719	754	847	628	584	687
ENSG00000005187	ACSM3	10	10	7	17	13	18	7	13
ENSG00000005189	REXO5	58	113	74	91	58	74	35	20
ENSG00000005194	CIAPIN1	564	814	803	879	973	617	736	876
ENSG00000005206	SPPL2B	1211	1082	1157	844	1274	1181	1161	1082
ENSG00000005238	ATOSB	1456	943	3070	3097	3253	1410	3284	4085
ENSG00000005243	COPZ2	1448	1553	1490	1245	1528	1824	1590	1414
ENSG00000005249	PRKAR2B	791	755	774	742	586	495	611	381
ENSG00000005302	MSL3	330	322	366	373	480	349	324	499
ENSG00000005339	CREBBP	1338	1682	795	956	901	1277	726	1116
ENSG00000005379	TSPOAP1	38	374	1	105	1	174	0	48
ENSG00000005381	MPO	0	0	15	4	0	0	15	3
ENSG00000005421	PON1	0	0	0	0	1	0	0	0
ENSG00000005436	GCFC2	180	341	180	281	122	286	122	184
ENSG00000005448	WDR54	221	361	315	201	316	282	204	198
ENSG00000005469	CROT	590	670	596	563	546	491	504	528
ENSG00000005471	ABCB4	132	315	17	95	123	237	7	61
ENSG00000005483	KMT2E	780	1071	397	564	621	748	424	580
ENSG00000005486	RHBDD2	1716	1367	2146	2279	1721	1191	2051	2110
ENSG00000005513	SOX8	21	8	21	16	36	16	8	23
ENSG00000005700	IBTK	820	1120	964	1054	991	772	948	986
ENSG00000005801	ZNF195	200	194	255	221	316	153	283	312
ENSG00000005810	MYCBP2	956	1774	1159	1255	869	1188	963	1195
ENSG00000005812	FBXL3	1005	1204	824	851	1032	754	868	926
ENSG00000005844	ITGAL	2	0	1	0	0	1	0	0
ENSG00000005882	PDK2	1492	1927	865	982	1153	1585	960	1268
ENSG00000005884	ITGA3	22545	33698	41868	51642	38814	34430	31538	31476
ENSG00000005889	ZFX	454	793	357	410	442	633	418	418
ENSG00000005893	LAMP2	6545	5544	6271	6463	7653	4478	6240	5429
ENSG00000005961	ITGA2B	6	7	1	6	9	16	2	3
ENSG00000005981	ASB4	0	0	2	0	0	0	0	0
ENSG00000006007	GDE1	2579	2878	2357	2815	3047	2306	2302	3266
ENSG00000006015	REX1BD	1362	714	890	847	1053	605	1125	966
ENSG00000006016	CRLF1	84	16	26	26	20	12	19	29
ENSG00000006025	OSBPL7	367	308	173	169	272	324	169	274
ENSG00000006042	TMEM98	1712	2152	1518	1646	1546	1739	1337	2392
ENSG00000006047	YBX2	0	2	0	1	1	3	0	0
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	140	166	161	124	208	181	120	167
ENSG00000006071	ABCC8	0	1	0	0	0	0	0	1
ENSG00000006116	CACNG3	0	0	0	0	0	0	0	0
ENSG00000006118	TMEM132A	3386	1502	4635	3202	4317	2615	2872	4528
ENSG00000006125	AP2B1	5165	6049	6156	4768	5211	4201	4551	4453
ENSG00000006128	TAC1	0	0	0	5	1	0	1	0
ENSG00000006194	ZNF263	493	567	423	488	627	430	440	607
ENSG00000006210	CX3CL1	150	1148	1	56	25	587	2	1
ENSG00000006282	SPATA20	3454	2684	4128	4039	2948	2023	4059	3594
ENSG00000006283	CACNA1G	20	4	2	4	10	5	26	3
ENSG00000006327	TNFRSF12A	3011	2475	6709	6054	10969	5414	9039	10454
ENSG00000006377	DLX6	1	0	4	4	1	3	0	3
ENSG00000006432	MAP3K9	172	158	232	274	288	155	250	386
ENSG00000006451	RALA	4087	1078	5381	2945	5526	1399	7009	3516
ENSG00000006453	BAIAP2L1	318	442	431	599	432	424	411	440
ENSG00000006459	KDM7A	111	95	60	51	70	77	73	114
ENSG00000006468	ETV1	590	324	549	236	238	205	322	183
ENSG00000006530	AGK	297	455	439	450	410	298	394	379
ENSG00000006534	ALDH3B1	1510	1882	674	2228	772	1010	428	698
ENSG00000006555	TTC22	0	0	1	0	1	1	0	0
ENSG00000006576	PHTF2	561	542	909	808	777	528	980	609
ENSG00000006606	CCL26	160	35	250	345	367	110	234	205
ENSG00000006607	FARP2	307	848	487	384	398	440	471	364
ENSG00000006611	USH1C	0	0	0	0	0	0	0	0
ENSG00000006625	GGCT	237	194	206	271	468	194	279	346
ENSG00000006634	DBF4	111	93	110	111	124	78	85	87
ENSG00000006638	TBXA2R	112	112	126	102	102	104	220	89
ENSG00000006652	IFRD1	892	859	687	1097	1236	704	824	1313
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	174	305	239	200	212	198	187	222
ENSG00000006704	GTF2IRD1	1033	1167	1012	1251	1322	988	1114	1439
ENSG00000006712	PAF1	1610	1849	1536	1602	1904	1444	1496	1529
ENSG00000006715	VPS41	2579	3236	3286	4017	2773	2230	2794	2565
ENSG00000006740	ARHGAP44	112	167	77	170	95	144	82	127
ENSG00000006744	ELAC2	1337	2086	1823	2085	2023	1855	1771	2118
ENSG00000006747	SCIN	6665	4358	6896	4443	3395	1755	4451	720
ENSG00000006756	ARSD	694	727	644	736	490	551	379	627
ENSG00000006757	PNPLA4	84	194	207	150	28	158	114	134
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	1161	1346	978	1323	1506	920	1144	1530
ENSG00000006837	CDKL3	26	39	25	39	26	17	34	35
ENSG00000007001	UPP2	3	1	0	0	0	0	0	1
ENSG00000007038	PRSS21	0	17	0	0	0	16	0	0
ENSG00000007047	MARK4	1537	1965	1538	1513	1463	1365	1688	1606
ENSG00000007062	PROM1	0	71	0	4	4	38	3	12
ENSG00000007080	CCDC124	1471	1466	1529	1627	2201	1627	1596	1870
ENSG00000007129	CEACAM21	0	0	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	2848	4392	3731	3977	3860	3347	3626	3883
ENSG00000007171	NOS2	0	0	0	2	0	0	0	0
ENSG00000007174	DNAH9	0	0	0	1	2	0	0	0
ENSG00000007202	BLTP2	4261	5863	6548	6316	5360	4687	5731	6949
ENSG00000007216	SLC13A2	0	0	0	0	0	0	0	0
ENSG00000007237	GAS7	573	0	497	27	153	0	477	61
ENSG00000007255	TRAPPC6A	425	404	90	245	114	282	66	163
ENSG00000007264	MATK	1	0	0	22	3	1	7	13
ENSG00000007306	CEACAM7	0	0	0	0	0	0	0	0
ENSG00000007312	CD79B	0	1	1	7	0	0	1	2
ENSG00000007314	SCN4A	0	0	0	3	1	0	0	0
ENSG00000007341	ST7L	259	287	228	273	302	159	154	210
ENSG00000007350	TKTL1	0	0	0	0	0	0	0	0
ENSG00000007372	PAX6	1	6	0	1	7	4	9	11
ENSG00000007376	RPUSD1	833	832	755	811	1109	634	773	994
ENSG00000007384	RHBDF1	1496	1155	1864	1520	1863	1195	1665	1655
ENSG00000007392	LUC7L	706	772	584	438	606	780	497	546
ENSG00000007402	CACNA2D2	12	15	11	6	13	9	22	13
ENSG00000007516	BAIAP3	14	0	8	2	11	0	8	2
ENSG00000007520	TSR3	1656	1714	2020	1855	2106	1450	1916	1797
ENSG00000007541	PIGQ	1376	1672	1233	1370	1497	1883	1356	1683
ENSG00000007545	CRAMP1	433	614	347	307	333	541	348	411
ENSG00000007866	TEAD3	1093	2025	1425	1296	958	1853	1261	1032
ENSG00000007908	SELE	0	0	1	0	0	0	0	0
ENSG00000007923	DNAJC11	963	1224	1533	1322	1557	985	1534	1519
ENSG00000007933	FMO3	2	32	0	1	1	13	0	2
ENSG00000007944	MYLIP	314	820	79	145	66	272	78	71
ENSG00000007952	NOX1	0	0	0	0	0	0	0	0
ENSG00000007968	E2F2	10	5	7	28	21	27	6	6
ENSG00000008018	PSMB1	2126	2124	1959	1998	2740	1835	1999	2409
ENSG00000008056	SYN1	54	24	15	34	30	35	31	40
ENSG00000008083	JARID2	201	147	154	108	123	61	136	152
ENSG00000008086	CDKL5	96	98	104	100	85	80	103	102
ENSG00000008118	CAMK1G	61	0	22	8	21	1	8	3
ENSG00000008128	CDK11A	754	717	661	525	919	787	705	509
ENSG00000008130	NADK	1416	1719	1583	1739	1741	1353	1699	1745
ENSG00000008196	TFAP2B	0	13	20	18	3	1	26	16
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	20	1	3	4	0	1	5	0
ENSG00000008256	CYTH3	957	2326	999	1735	1104	1662	1099	1576
ENSG00000008277	ADAM22	43	284	49	38	33	98	16	40
ENSG00000008282	SYPL1	1968	2385	1569	2431	2345	1850	1774	1885
ENSG00000008283	CYB561	619	569	1430	1211	657	666	1540	1419
ENSG00000008294	SPAG9	2243	2039	2984	3100	2600	1389	3103	2597
ENSG00000008300	CELSR3	141	44	118	104	93	63	147	134
ENSG00000008311	AASS	264	447	252	407	247	274	160	368
ENSG00000008323	PLEKHG6	4	0	1	0	0	0	0	0
ENSG00000008324	SS18L2	204	175	173	199	268	137	234	249
ENSG00000008382	MPND	345	520	241	286	151	388	212	293
ENSG00000008394	MGST1	1080	2	326	66	384	0	336	85
ENSG00000008405	CRY1	206	338	256	303	318	303	199	267
ENSG00000008438	PGLYRP1	0	0	0	0	0	0	1	0
ENSG00000008441	NFIX	8352	12528	5072	5938	4633	8449	3519	5694
ENSG00000008513	ST3GAL1	1433	777	2268	598	784	525	2033	556
ENSG00000008516	MMP25	2	3	4	16	7	4	17	12
ENSG00000008517	IL32	46	0	20	384	60	14	21	424
ENSG00000008710	PKD1	3529	8050	3041	4262	2905	7223	3564	4566
ENSG00000008735	MAPK8IP2	67	33	89	620	85	14	216	325
ENSG00000008838	MED24	1122	1412	1043	1202	1185	1143	949	1114
ENSG00000008853	RHOBTB2	685	1251	566	595	589	756	500	655
ENSG00000008869	HEATR5B	426	520	439	437	467	367	472	405
ENSG00000008952	SEC62	2508	2621	3514	3572	3976	2446	3909	3502
ENSG00000008988	RPS20	9827	9164	7991	7163	9601	7392	5994	8352
ENSG00000009307	CSDE1	10831	16800	11300	12255	12416	12326	9779	11856
ENSG00000009335	UBE3C	1502	2139	2740	2886	2663	1835	2838	2686
ENSG00000009413	REV3L	719	1119	340	575	409	731	295	413
ENSG00000009694	TENM1	0	0	0	0	0	0	0	0
ENSG00000009709	PAX7	0	0	0	0	0	0	0	0
ENSG00000009724	MASP2	17	15	12	14	12	15	16	13
ENSG00000009765	IYD	0	1	0	0	0	0	0	0
ENSG00000009780	FAM76A	268	268	169	211	197	276	200	215
ENSG00000009790	TRAF3IP3	5	0	0	2	6	0	3	0
ENSG00000009830	POMT2	734	455	552	571	949	551	888	1072
ENSG00000009844	VTA1	606	609	991	900	977	555	946	797
ENSG00000009950	MLXIPL	6	0	0	0	2	1	3	0
ENSG00000009954	BAZ1B	2347	3143	1639	2084	1981	2183	1639	1859
ENSG00000010017	RANBP9	1172	1781	1819	1934	1863	1788	1531	1675
ENSG00000010030	ETV7	13	1	13	8	3	0	12	0
ENSG00000010072	SPRTN	185	228	169	202	268	213	204	259
ENSG00000010165	METTL13	790	894	882	1106	1026	620	778	917
ENSG00000010219	DYRK4	253	314	232	281	338	278	171	406
ENSG00000010244	ZNF207	1940	1986	1967	1851	2326	1757	1982	1988
ENSG00000010256	UQCRC1	2328	3451	3393	3567	3485	2983	2558	3634
ENSG00000010270	STARD3NL	872	716	919	839	1274	649	872	907
ENSG00000010278	CD9	12815	15115	13790	10195	12363	9531	12035	6262
ENSG00000010282	HHATL	0	0	0	0	0	0	0	0
ENSG00000010292	NCAPD2	920	1163	613	751	733	803	448	564
ENSG00000010295	IFFO1	2120	2411	1688	1391	1754	1605	1725	1144
ENSG00000010310	GIPR	14	8	1	0	11	12	25	25
ENSG00000010318	PHF7	83	70	46	70	41	51	40	59
ENSG00000010319	SEMA3G	3	1	0	1	1	0	0	0
ENSG00000010322	NISCH	2925	3375	3638	3076	2568	3303	2991	3104
ENSG00000010327	STAB1	0	0	4	0	1	0	8	0
ENSG00000010361	FUZ	418	506	124	215	231	383	115	210
ENSG00000010379	SLC6A13	10	2	3	17	32	13	27	36
ENSG00000010404	IDS	4854	7621	4790	7032	5984	7108	5894	7882
ENSG00000010438	PRSS3	110	2	99	0	164	2	226	6
ENSG00000010539	ZNF200	101	98	102	85	104	92	112	142
ENSG00000010610	CD4	14	4	7	0	4	9	3	6
ENSG00000010626	LRRC23	122	170	72	141	130	119	76	164
ENSG00000010671	BTK	0	0	0	1	0	0	0	1
ENSG00000010704	HFE	645	363	600	410	451	228	499	481
ENSG00000010803	SCMH1	657	1154	430	608	426	778	388	322
ENSG00000010810	FYN	619	934	752	1391	938	667	774	980
ENSG00000010818	HIVEP2	616	763	860	650	732	485	783	492
ENSG00000010932	FMO1	0	1	2	1	0	0	0	0
ENSG00000011007	ELOA	992	893	1369	1197	1530	862	1537	1282
ENSG00000011009	LYPLA2	1214	1032	2240	1175	1780	955	1650	1285
ENSG00000011021	CLCN6	1054	828	403	700	492	569	461	475
ENSG00000011028	MRC2	13078	6905	14496	2921	11241	7246	20773	8847
ENSG00000011052	NME1-NME2	190	98	270	154	162	58	209	270
ENSG00000011083	SLC6A7	0	0	5	0	0	0	0	0
ENSG00000011105	TSPAN9	962	1706	855	1012	1111	1250	1010	959
ENSG00000011114	BTBD7	585	866	631	643	667	521	592	803
ENSG00000011132	APBA3	415	391	378	348	494	456	395	549
ENSG00000011143	MKS1	235	260	162	248	198	275	180	288
ENSG00000011198	ABHD5	408	453	548	786	1142	512	720	794
ENSG00000011201	ANOS1	115	0	176	202	623	2	212	480
ENSG00000011243	AKAP8L	1417	1277	959	1094	1352	1536	1092	1256
ENSG00000011258	MBTD1	148	148	112	103	100	121	76	112
ENSG00000011260	UTP18	519	530	591	673	646	416	517	515
ENSG00000011275	RNF216	1401	2493	1185	1655	1569	1797	1287	1623
ENSG00000011295	TTC19	536	761	784	854	766	609	818	950
ENSG00000011304	PTBP1	4221	5005	4059	4373	5490	4481	4647	5679
ENSG00000011332	DPF1	30	19	77	71	97	29	53	85
ENSG00000011347	SYT7	135	55	86	125	97	22	52	26
ENSG00000011376	LARS2	422	623	705	632	555	548	602	521
ENSG00000011405	PIK3C2A	964	1034	1304	1257	1034	788	1252	1183
ENSG00000011422	PLAUR	567	145	2331	438	2309	375	2218	945
ENSG00000011426	ANLN	188	237	758	923	753	182	293	147
ENSG00000011451	WIZ	2100	2594	2016	1975	2141	2244	2214	2297
ENSG00000011454	RABGAP1	1210	3620	804	1303	1037	2521	687	933
ENSG00000011465	DCN	10510	2664	4605	483	3467	2007	3721	561
ENSG00000011478	QPCTL	860	369	1172	799	1951	414	1748	1186
ENSG00000011485	PPP5C	918	1067	1065	1017	1432	933	994	998
ENSG00000011523	CEP68	468	914	246	299	264	534	198	263
ENSG00000011566	MAP4K3	359	355	466	395	335	303	399	348
ENSG00000011590	ZBTB32	0	1	0	0	3	2	1	6
ENSG00000011600	TYROBP	0	0	0	0	0	0	0	0
ENSG00000011638	LDAF1	764	2056	1556	915	949	1335	1553	754
ENSG00000011677	GABRA3	0	0	0	0	0	0	0	0
ENSG00000012048	BRCA1	90	97	170	218	224	133	139	72
ENSG00000012061	ERCC1	1025	1083	1174	954	1194	908	989	1173
ENSG00000012124	CD22	0	2	2	4	1	0	4	2
ENSG00000012171	SEMA3B	1544	811	754	744	505	711	343	279
ENSG00000012174	MBTPS2	528	570	634	615	543	432	612	548
ENSG00000012211	PRICKLE3	158	188	145	174	155	131	180	197
ENSG00000012223	LTF	0	0	0	0	1	0	0	0
ENSG00000012232	EXTL3	1776	2679	2043	2024	1884	1908	2291	1820
ENSG00000012504	NR1H4	0	0	0	0	0	0	0	0
ENSG00000012660	ELOVL5	3344	2633	2172	2548	3553	1855	3533	3515
ENSG00000012779	ALOX5	0	0	0	0	0	0	3	0
ENSG00000012817	KDM5D	73	0	4	331	46	0	5	435
ENSG00000012822	CALCOCO1	2575	4713	1934	2473	2012	3793	1682	2350
ENSG00000012963	UBR7	632	1200	574	647	658	788	448	491
ENSG00000012983	MAP4K5	1318	1647	1971	2081	1840	1464	1875	1410
ENSG00000013016	EHD3	796	1624	1019	955	822	985	971	944
ENSG00000013275	PSMC4	1522	1370	2045	1788	2453	1372	2146	2197
ENSG00000013288	MAN2B2	3712	6222	4370	3662	3768	4762	3537	3069
ENSG00000013293	SLC7A14	38	1136	7	269	43	978	2	61
ENSG00000013297	CLDN11	714	4018	968	350	326	3873	147	82
ENSG00000013306	SLC25A39	2539	2715	3304	3685	3324	2689	3180	4204
ENSG00000013364	MVP	10750	12088	13806	9187	11403	10219	10868	6963
ENSG00000013374	NUB1	984	1352	979	1032	1124	964	896	1007
ENSG00000013375	PGM3	1049	846	1731	1195	2007	844	2147	1472
ENSG00000013392	RWDD2A	127	282	200	243	258	219	203	229
ENSG00000013441	CLK1	834	791	434	378	537	731	490	572
ENSG00000013503	POLR3B	277	313	301	265	387	255	335	259
ENSG00000013523	ANGEL1	565	608	527	746	603	520	523	640
ENSG00000013561	RNF14	1129	1255	1366	1849	1725	1020	1659	1893
ENSG00000013563	DNASE1L1	1137	785	3058	1366	2298	847	3524	1496
ENSG00000013573	DDX11	253	95	232	369	264	143	229	338
ENSG00000013583	HEBP1	3929	1190	2951	1807	1635	788	2504	1345
ENSG00000013588	GPRC5A	810	285	4894	13671	4961	875	3471	4737
ENSG00000013619	MAMLD1	164	193	186	228	292	134	149	208
ENSG00000013725	CD6	0	0	0	1	1	0	0	0
ENSG00000013810	TACC3	205	146	572	621	759	166	345	250
ENSG00000014123	UFL1	734	911	721	694	669	645	627	562
ENSG00000014138	POLA2	156	247	305	366	350	233	275	222
ENSG00000014164	ZC3H3	464	486	431	353	434	368	426	425
ENSG00000014216	CAPN1	4686	5761	8090	5406	5960	4494	5755	5530
ENSG00000014257	ACP3	4	0	3	0	5	0	4	0
ENSG00000014641	MDH1	2244	2772	3476	3963	3509	2284	3112	3571
ENSG00000014824	SLC30A9	980	1218	1508	1519	1557	1078	1349	1562
ENSG00000014914	MTMR11	427	548	307	200	263	416	202	212
ENSG00000014919	COX15	812	1105	792	833	627	667	508	574
ENSG00000015133	CCDC88C	12	1	7	16	36	2	1	32
ENSG00000015153	YAF2	164	268	265	325	245	227	236	301
ENSG00000015171	ZMYND11	1455	2156	1148	1628	1367	1560	1203	1623
ENSG00000015285	WAS	6	7	3	7	14	5	9	5
ENSG00000015413	DPEP1	0	0	0	0	0	0	0	0
ENSG00000015475	BID	440	406	671	446	607	401	572	471
ENSG00000015479	MATR3	3511	4646	3057	2767	3127	3225	2320	2860
ENSG00000015520	NPC1L1	2	0	1	0	1	2	0	0
ENSG00000015532	XYLT2	1362	1244	2182	1199	2095	1212	2230	1610
ENSG00000015568	RGPD5	262	438	442	353	382	321	258	734
ENSG00000015592	STMN4	0	1	0	0	1	2	0	0
ENSG00000015676	NUDCD3	1963	3047	2202	2324	2483	2294	2255	2221
ENSG00000016082	ISL1	0	0	0	0	0	0	0	0
ENSG00000016391	CHDH	61	179	6	67	22	171	1	40
ENSG00000016402	IL20RA	7	0	1	1	0	0	0	0
ENSG00000016490	CLCA1	0	0	0	0	0	0	0	0
ENSG00000016602	CLCA4	0	0	0	0	0	0	0	0
ENSG00000016864	GLT8D1	674	702	778	605	895	743	692	819
ENSG00000017260	ATP2C1	2220	2012	3979	3483	4221	1705	3950	3650
ENSG00000017427	IGF1	0	0	0	1	1	2	0	9
ENSG00000017483	SLC38A5	39	29	70	78	28	61	50	65
ENSG00000017797	RALBP1	1623	2745	1820	2393	2166	2319	1864	2198
ENSG00000018189	RUFY3	882	791	869	792	801	705	742	686
ENSG00000018236	CNTN1	797	5144	550	736	367	3254	298	239
ENSG00000018280	SLC11A1	13	9	2	5	9	4	4	6
ENSG00000018408	WWTR1	2791	2428	4579	1386	2286	2328	3132	1570
ENSG00000018510	AGPS	684	715	1057	963	1033	761	1122	956
ENSG00000018607	ZNF285CP	0	0	0	0	0	0	0	0
ENSG00000018610	STEEP1	478	618	371	456	444	404	436	510
ENSG00000018625	ATP1A2	0	121	0	87	4	42	2	48
ENSG00000018699	TTC27	257	391	344	290	319	239	269	240
ENSG00000018869	ZNF582	64	56	38	60	70	45	60	80
ENSG00000019102	VSIG2	0	0	0	0	0	0	0	0
ENSG00000019144	PHLDB1	1727	2025	2029	2080	3114	2765	2560	7536
ENSG00000019169	MARCO	0	0	0	0	2	0	0	0
ENSG00000019186	CYP24A1	8	0	0	4	2	0	1	26
ENSG00000019485	PRDM11	451	673	214	337	279	432	177	310
ENSG00000019505	SYT13	125	40	8	5	7	62	6	2
ENSG00000019549	SNAI2	1317	771	453	590	827	740	688	894
ENSG00000019582	CD74	388	517	75	164	142	412	39	95
ENSG00000019991	HGF	1678	748	2282	53	395	954	1800	7
ENSG00000019995	ZRANB1	641	742	370	584	466	530	390	515
ENSG00000020129	NCDN	3741	3438	2958	3154	2467	2386	2604	2075
ENSG00000020181	ADGRA2	1450	2217	664	403	202	1599	400	682
ENSG00000020219	CCT8L1P	0	0	0	0	0	0	0	0
ENSG00000020256	ZFP64	356	456	325	300	360	336	434	340
ENSG00000020426	MNAT1	212	326	380	295	400	308	381	393
ENSG00000020577	SAMD4A	620	827	1205	1635	2001	565	1512	3240
ENSG00000020633	RUNX3	0	0	0	15	1	0	0	9
ENSG00000020922	MRE11	200	375	281	316	333	305	211	341
ENSG00000021300	PLEKHB1	33	25	3	99	24	35	3	43
ENSG00000021355	SERPINB1	441	558	647	651	555	502	501	501
ENSG00000021461	CYP3A43	0	1	0	0	0	0	0	0
ENSG00000021488	SLC7A9	4	1	4	5	5	9	1	8
ENSG00000021574	SPAST	266	393	365	414	326	282	338	309
ENSG00000021645	NRXN3	34	50	26	156	74	32	26	57
ENSG00000021762	OSBPL5	1068	1799	722	718	768	1202	674	634
ENSG00000021776	AQR	605	1001	656	664	513	614	481	532
ENSG00000021826	CPS1	142	91	220	206	132	54	98	168
ENSG00000021852	C8B	0	0	0	0	0	0	0	0
ENSG00000022267	FHL1	6212	23863	3716	7499	9243	16185	3148	9028
ENSG00000022277	RTF2	1841	2292	2066	1951	2410	2088	1798	1969
ENSG00000022355	GABRA1	0	1	0	0	1	0	0	1
ENSG00000022556	NLRP2	3	454	3	385	0	432	0	521
ENSG00000022567	SLC45A4	256	247	278	302	315	189	341	229
ENSG00000022840	RNF10	3039	3841	3865	4322	3737	3228	3490	4014
ENSG00000022976	ZNF839	159	212	161	181	181	127	188	176
